#keyword,type,from,to
abstract,reserved,es1,es3
arguments,special,,
as,special,,
async,special,,
await,async,es0,
boolean,reserved,es1,es3
break,reserved,es0,
byte,reserved,es1,es3
case,reserved,es0,
catch,reserved,es0,
char,reserved,es1,es3
class,reserved,es0,
const,reserved,es0,
continue,reserved,es0,
debugger,reserved,es0,
default,reserved,es0,
delete,reserved,es0,
do,reserved,es0,
double,reserved,es1,es3
else,reserved,es0,
enum,reserved,es?,
eval,special,,
export,reserved,es0,
extends,reserved,es0,
false,reserved,es0,
final,reserved,es1,es3
finally,reserved,es0,
float,reserved,es1,es3
for,reserved,es0,
from,special,,
function,reserved,es0,
get,special,,
goto,reserved,es1,es3
if,reserved,es0,
implements,strict,es?,
import,reserved,es0,
in,reserved,es0,
instanceof,reserved,es0,
int,reserved,es1,es3
interface,strict,es?,
let,strict,es0,
long,reserved,es1,es3
native,reserved,es1,es3
new,reserved,es0,
null,reserved,es0,
of,special,,
package,strict,es?,
private,strict,es?,
protected,strict,es?,
public,strict,es?,
return,reserved,es0,
set,special,,
short,reserved,es1,es3
static,strict,es0,
super,reserved,es0,
switch,reserved,es0,
synchronized,reserved,es1,es3
this,reserved,es0,
throw,reserved,es0,
throws,reserved,es1,es3
transient,reserved,es1,es3
true,reserved,es0,
try,reserved,es0,
typeof,reserved,es0,
var,reserved,es0,
void,reserved,es0,
volatile,reserved,es1,es3
while,reserved,es0,
with,reserved,es0,
yield,strict,es0,
